species,name,wavelength,llevel,lspin,lj,ulevel,uspin,uj,f,A
h_1,ly_a,1.215668e-05,1s,2,0.5,2p,2,1.5,0.2775,626000000.0
h_1,ly_a,1.215674e-05,1s,2,0.5,2p,2,0.5,0.139,626000000.0
h_1,h_a,6.564538e-05,2s,2,0.5,3p,2,1.5,0.29,22400000.0
h_1,h_a,6.564584e-05,2s,2,0.5,3p,2,0.5,0.145,22400000.0
h_1,h_a,6.564523e-05,2p,2,0.5,3d,2,1.5,0.695,53900000.0
h_1,h_b,4.862645e-05,2s,2,0.5,4p,2,1.5,0.0685,9670000.0
h_1,h_b,4.8626560000000004e-05,2s,2,0.5,4p,2,0.5,0.03425,9670000.0
h_1,h_b,4.862637e-05,2p,2,0.5,4d,2,1.5,0.122,17200000.0
h_1,h_g,4.341654e-05,2s,2,0.5,5p,2,1.5,0.02795,4950000.0
h_1,h_g,4.3416580000000006e-05,2s,2,0.5,5p,2,0.5,0.014,4950000.0
h_1,h_g,4.341647e-05,2p,2,0.5,5d,2,1.5,0.0444,7850000.0
he_1,he_3-0,0.00010832058,1s.2s,3,1.0,1s.2p,3,0.0,0.059902,10216000.0
he_1,he_3-2,0.00010833307,1s.2s,3,1.0,1s.2p,3,2.0,0.29958,10216000.0
he_1,he_3-1,0.00010833217,1s.2s,3,1.0,1s.2p,3,1.0,0.17974,10216000.0
he_1,he_32-2,3.889751e-05,1s.2s,3,1.0,1s.3p,3,2.0,0.03566,9480000.0
he_1,he_32-1,3.889748e-05,1s.2s,3,1.0,1s.3p,3,1.0,0.02150,9480000.0
he_1,he_32-0,3.889707e-05,1s.2s,3,1.0,1s.3p,3,0.0,0.00716,9480000.0
c_2,c2_1335,1.3345320e-05,2s2 2p,2,0.5,2s 2p2,2,1.5,0.15535,242300000.0
c_2,c2_1036,1.036337e-05,2s2 2p,2,0.5,2s 2p2,2,0.5,0.1539,745700000.0
c_3,c3_977,9.7702e-06,2s2,1,0.0,2s 2p,1,1.0,0.7583,1769000000.0
c_4,c4_1548,1.548187e-05,1s2.2s,2,0.5,1s2.2p,2,1.5,0.1905,265000000.0
c_4,c4_1551,1.550772e-05,1s2.2s,2,0.5,1s2.2p,2,0.5,0.095,264000000.0
n_1,n1_1200,1.19955e-05,2s2.2p3,4,1.5,2s2.2p2(3P)3s,4,2.5,0.1311,401200000.0
n_1,n1_1200,1.200223e-05,2s2.2p3,4,1.5,2s2.2p2(3P)3s,4,1.5,0.0865,396600000.0
n_1,n1_1200,1.20071e-05,2s2.2p3,4,1.5,2s2.2p2(3P)3s,4,0.5,0.043,394000000.0
n_2,n2_915,9.15612e-06,2s2.2p2,3,0.0,2s.2p3,3,1.0,0.1633,433100000.0
n_2,n2_1083,1.08399e-05,2s2.2p2,3,0.0,2s.2p3,3,1.0,0.112,212000000.0
n_3,n3_989,9.89799e-06,2s2 2p,2,0.5,2s 2p2,2,1.5,0.12165,416900000.0
o_1,o1_1302,1.302168e-05,2s2.2p4,3,2.0,2s2.2p3(4S).3s,3,1.0,0.04804,314900000.0
na_1,na_5890,5.88995e-05,2p6.3s,2,0.5,2p6.3p,2,1.5,0.641,61600000
na_1,na_5890,5.895924e-05,2p6.3s,2,0.5,2p6.3p,2,0.5,0.320,91400000
mg_1,mg_2852,2.852127e-05,2p6.3s2,1,0,3s3p,1,1,1.8,491000000
mg_2,mg2_h,2.79635e-05,3s,2,0.5,3p,2,1.5,0.6365,252000000.0
mg_2,mg2_k,2.803531e-05,3s,2,0.5,3p,2,0.5,0.31725,251000000.0
al_2,al2_1670,1.670787e-05,3s2,1,0.0,3s 3p,1,1.0,1.831,1530000000.0
al_3,al3_1855,1.854716e-05,3s,2,0.5,3p,2,1.5,0.5885,548000000.0
al_3,al3_1863,1.862791e-05,3s,2,0.5,3p,2,0.5,0.29275,542000000.0
si_1,si1_1260,1.260422e-05,3s2.3p,2,0.5,3s2.3d,2,1.5,1.18,2477000000.0
si_2,si2_1190,1.19329e-05,3s2.3p,2,0.5,3s.3p2,2,0.5,0.578,2707000000.0
si_2,si2_1190,1.190416e-05,3s2.3p,2,0.5,3s.3p2,2,1.5,0.285,670700000.0
si_2,si2_990,9.898730000000001e-06,3s2.3p,2,0.5,3s2.4d,2,1.5,0.17,578600000.0
si_2,si2_1527,1.5267070000000003e-05,3s2.3p,2,0.5,3s2.4s,2,0.5,0.131,381500000.0
si_2,si2_1304,1.3043699999999998e-05,3s2.3p,2,0.5,3s.3p2,2,0.5,0.0921,361100000.0
si_3,si3_1207,1.2065e-05,3s2,1,0.0,3s 3p,1,1.0,1.609,2469000000.0
si_4,si4_1394,1.3937550000000002e-05,3s,2,0.5,3p,2,1.5,0.54,906000000.0
si_4,si4_1403,1.40277e-05,3s,2,0.5,3p,2,0.5,0.26905,891000000.0
s_2,s2_907,9.06876e-06,3s2 3p3,4,1.5,3p2(3P)4s,4,2.5,0.1942,1050000000.0
s_2,s2_910,9.10485e-06,3s2 3p3,4,1.5,3p2(3P)4s,4,1.5,0.1279,1030000000.0
s_3,s3_1013,1.012492e-05,3s2.3p2,3,0.0,3s.3p3,3,1.0,0.0334,94550000.0
s_3,s3_1190,1.1901969999999998e-05,3s2.3p2,3,0.0,3s.3p3,3,1.0,0.0143,40240000.0
ca_1,ca_422, 4.2267276e-05, 4s2, 0, 0, 4s4p, 0, 1, 1.75, 218000000.0
ca_2,ca2_h,3.934777e-05,3p6.4s,2,0.5,3p6.4p,2,1.5,0.6455,139000000.0
ca_2,ca2_k,3.969591e-05,3p6.4s,2,0.5,3p6.4p,2,0.5,0.31965,135300000.0
fe_2,fe2_2383,2.382765e-05,3d6(5D).4s,6,4.5,3d6(5D).4p,6,5.5,0.34249999999999997,335300000.0
fe_2,fe2_2600,2.6001729999999997e-05,3d6(5D).4s,6,4.5,3d6(5D).4p,6,4.5,0.24,236800000.0
fe_2,fe2_2344,2.344214e-05,3d6(5D).4s,6,4.5,3d6(5D).4p,6,3.5,0.1264,191700000.0
fe_2,fe2_2587,2.58665e-05,3d6(5D).4s,6,4.5,3d6(5D).4p,6,3.5,0.05484,68340000.0
fe_2,fe2_2374,2.3744609999999997e-05,3d6(5D).4s,6,4.5,3d6(5D).4p,6,4.5,0.052700000000000004,62350000.0


